,DMI,AO,AMON,NAO,NINO,PDO
1950-01-01,-0.044,-0.06,0.105,0.55,-1.5,-1.61
1950-02-01,-0.554,0.627,-0.04,3.31,-1.3,-2.17
1950-03-01,-0.692,-0.008,-0.112,0.82,-1.2,-1.89
1950-04-01,-0.475,0.555,-0.137,1.61,-1.2,-1.99
1950-05-01,-0.309,0.072,-0.065,-1.73,-1.1,-3.19
1950-06-01,-0.494,0.539,-0.049,1.26,-0.9,-2.52
1950-07-01,-0.348,-0.802,-0.062,-0.87,-0.5,-3.65
1950-08-01,-0.22,-0.851,0.014,-0.28,-0.4,-2.98
1950-09-01,-0.631,0.358,0.003,1.51,-0.4,-2.4
1950-10-01,-0.59,-0.379,-0.097,0.78,-0.4,-1.92
1950-11-01,-0.227,-0.515,0.073,0.78,-0.6,-1.45
1950-12-01,-0.027,-1.928,0.082,-1.88,-0.8,-1.06
1951-01-01,0.256,-0.085,0.096,0.82,-0.8,-1.19
1951-02-01,0.211,-0.4,-0.008,0.93,-0.5,-1.52
1951-03-01,0.259,-1.934,0.006,-2.01,-0.2,-1.72
1951-04-01,-0.513,-0.776,0.162,-0.45,0.2,-1.35
1951-05-01,-0.138,-0.863,0.166,-2.11,0.4,-1.29
1951-06-01,-0.19,-0.918,0.283,-1.16,0.6,-1.77
1951-07-01,-0.22,0.09,0.415,1.1,0.7,-0.23
1951-08-01,0.124,-0.377,0.297,0.85,0.9,-1.76
1951-09-01,-0.005,-0.818,0.243,-0.22,1.0,-0.78
1951-10-01,-0.168,-0.213,0.252,-0.13,1.2,-0.09
1951-11-01,0.123,-0.069,0.168,-0.97,1.0,-0.31
1951-12-01,-0.073,1.987,0.168,2.54,0.8,-1.45
1952-01-01,-0.069,0.368,0.165,0.92,0.5,-2.19
1952-02-01,0.08,-1.747,0.176,0.15,0.4,-1.35
1952-03-01,0.126,-1.859,0.224,-1.14,0.3,-1.67
1952-04-01,0.073,0.539,0.184,2.79,0.3,-1.92
1952-05-01,-0.148,-0.774,0.174,-0.94,0.2,-2.07
1952-06-01,0.02,-0.441,0.376,0.02,0.0,-2.13
1952-07-01,-0.43,0.383,0.366,-0.79,-0.1,-2.05
1952-08-01,-0.463,-0.03,0.397,-1.05,0.0,-1.58
1952-09-01,-0.607,-0.383,0.355,-3.02,0.2,-1.36
1952-10-01,-0.546,-0.437,0.348,0.42,0.1,-0.91
1952-11-01,-0.171,-1.891,0.244,-1.51,0.0,-0.53
1952-12-01,-0.03,-1.827,0.334,-0.31,0.1,-0.83
1953-01-01,0.304,-1.036,0.258,-0.02,0.4,-0.16
1953-02-01,0.285,-0.249,0.178,0.54,0.6,-0.46
1953-03-01,0.188,1.068,0.134,1.25,0.6,-1.27
1953-04-01,-0.054,-1.256,0.306,-1.6,0.7,-0.9
1953-05-01,0.316,-0.562,0.335,-0.75,0.8,-0.55
1953-06-01,-0.113,0.023,0.268,-2.96,0.8,-0.2
1953-07-01,-0.178,0.333,0.337,0.13,0.7,0.06
1953-08-01,-0.231,0.085,0.251,3.26,0.7,-0.92
1953-09-01,-0.24,0.662,0.273,0.75,0.8,-1.11
1953-10-01,-0.312,-0.194,0.141,0.77,0.8,-1.48
1953-11-01,-0.136,0.354,0.237,3.25,0.8,-0.51
1953-12-01,-0.119,0.575,0.251,0.15,0.8,-0.18
1954-01-01,-0.339,-0.148,0.22,0.1,0.8,-1.13
1954-02-01,-0.271,-0.181,0.088,0.57,0.5,-0.95
1954-03-01,-0.162,0.476,0.093,-0.29,0.0,-1.15
1954-04-01,-0.009,0.512,-0.021,-0.26,-0.4,-1.25
1954-05-01,-0.55,-1.656,0.062,-0.91,-0.5,-0.76
1954-06-01,-0.504,-0.268,0.092,-0.94,-0.5,0.49
1954-07-01,-0.855,0.341,-0.052,0.88,-0.6,-0.08
1954-08-01,-0.631,-0.122,-0.022,-0.59,-0.8,-0.32
1954-09-01,-0.718,0.301,-0.018,2.49,-0.9,-1.05
1954-10-01,-0.836,0.513,-0.04,2.09,-0.8,0.02
1954-11-01,-0.45,-0.328,-0.034,1.54,-0.7,0.85
1954-12-01,-0.053,0.553,-0.059,1.44,-0.7,0.49
1955-01-01,-0.049,-1.163,0.068,-1.17,-0.7,-0.23
1955-02-01,-0.153,-1.542,0.033,-2.21,-0.6,-1.01
1955-03-01,0.019,-1.568,0.034,-2.9,-0.7,-1.24
1955-04-01,-0.044,0.194,0.088,2.4,-0.8,-2.21
1955-05-01,-0.695,0.242,0.169,0.33,-0.8,-1.89
1955-06-01,-0.387,-0.266,0.186,-0.18,-0.7,-2.18
1955-07-01,-0.439,0.332,0.261,-1.32,-0.7,-2.75
1955-08-01,-0.43,0.76,0.167,0.54,-0.7,-2.66
1955-09-01,-0.738,0.357,0.195,0.82,-1.1,-2.48
1955-10-01,-0.73,0.099,0.271,-2.35,-1.4,-3.35
1955-11-01,-0.269,-1.342,0.378,-2.14,-1.7,-2.63
1955-12-01,-0.3,-0.444,0.249,0.51,-1.5,-2.2
1956-01-01,-0.101,-1.204,0.179,-0.76,-1.1,-2.26
1956-02-01,-0.021,-2.029,0.087,-2.96,-0.8,-2.28
1956-03-01,-0.001,0.47,0.006,0.01,-0.6,-2.93
1956-04-01,-0.3,-0.868,0.056,-1.9,-0.5,-2.55
1956-05-01,-0.57,1.391,-0.066,4.54,-0.5,-1.62
1956-06-01,-0.826,0.28,-0.272,1.26,-0.5,-1.98
1956-07-01,-1.083,-0.215,-0.098,0.35,-0.6,-1.48
1956-08-01,-0.772,-0.652,-0.106,-3.15,-0.6,-1.0
1956-09-01,-0.803,-0.202,-0.097,-0.51,-0.5,-0.28
1956-10-01,-0.672,1.139,-0.051,1.23,-0.4,-1.66
1956-11-01,-0.516,-0.066,-0.095,1.39,-0.4,-2.44
1956-12-01,-0.151,0.001,0.011,2.57,-0.4,-1.27
1957-01-01,-0.437,2.062,-0.089,2.53,-0.2,-1.31
1957-02-01,-0.564,-1.513,-0.114,1.08,0.1,-1.57
1957-03-01,-0.197,-2.013,-0.027,0.42,0.4,-0.83
1957-04-01,-0.3,0.238,-0.082,-0.62,0.7,-0.81
1957-05-01,-0.326,-0.966,-0.129,-0.84,0.9,-0.02
1957-06-01,-0.465,-0.76,-0.02,-0.8,1.1,1.53
1957-07-01,-0.488,-0.646,0.032,-0.48,1.3,0.59
1957-08-01,-0.266,0.097,0.194,0.7,1.3,0.34
1957-09-01,-0.383,-0.956,0.213,-1.56,1.3,1.84
1957-10-01,-0.523,0.903,0.141,1.07,1.4,1.72
1957-11-01,-0.482,-1.38,0.076,-1.59,1.5,1.54
1957-12-01,-0.25,0.828,0.071,-0.12,1.7,0.46
1958-01-01,-0.396,-1.438,0.04,0.37,1.8,0.83
1958-02-01,-0.234,-2.228,0.18,-0.03,1.7,0.94
1958-03-01,-0.374,-2.522,0.336,-1.28,1.3,0.62
1958-04-01,-0.348,-0.36,0.338,1.79,0.9,0.56
1958-05-01,-0.496,-0.336,0.193,1.1,0.7,1.46
1958-06-01,-0.854,-1.149,0.213,-1.44,0.6,1.82
1958-07-01,-1.063,-0.684,0.156,-0.2,0.6,0.61
1958-08-01,-1.26,-0.755,0.152,0.98,0.4,1.06
1958-09-01,-1.303,-0.012,0.204,-0.23,0.4,0.77
1958-10-01,-0.966,0.77,0.143,1.65,0.4,0.28
1958-11-01,-0.674,-0.011,0.176,0.43,0.5,0.28
1958-12-01,-0.639,-1.687,0.211,-1.7,0.6,1.14
1959-01-01,-0.027,-2.013,0.091,-1.15,0.6,1.04
1959-02-01,-0.531,2.544,0.106,2.46,0.6,0.35
1959-03-01,-0.524,1.432,-0.036,1.82,0.5,-0.14
1959-04-01,-0.357,0.119,-0.013,1.51,0.3,-0.16
1959-05-01,-0.742,-0.341,-0.002,-2.22,0.2,-0.13
1959-06-01,-0.745,-0.033,-0.068,1.51,-0.1,0.23
1959-07-01,-0.667,0.105,-0.041,0.29,-0.2,-0.42
1959-08-01,-0.913,-0.745,0.003,0.02,-0.3,-0.31
1959-09-01,-0.839,-0.281,0.116,-1.81,-0.1,-0.53
1959-10-01,-0.586,-0.249,0.103,1.51,0.0,0.96
1959-11-01,-0.574,-1.411,0.042,-0.04,0.0,1.38
1959-12-01,-0.357,-0.042,0.1,1.98,0.0,1.02
1960-01-01,-0.236,-2.484,0.167,-0.7,-0.1,0.24
1960-02-01,-0.043,-2.212,0.207,-1.0,-0.1,0.61
1960-03-01,-0.433,-1.625,0.079,-0.87,-0.1,0.23
1960-04-01,-0.745,-0.297,0.088,1.93,0.0,0.21
1960-05-01,-0.738,-0.857,0.293,0.07,0.0,0.35
1960-06-01,-0.681,0.055,0.31,-0.41,0.0,1.2
1960-07-01,-0.734,-0.619,0.261,0.18,0.1,-0.42
1960-08-01,-0.584,-1.008,0.326,-1.84,0.2,-0.31
1960-09-01,-0.582,-0.382,0.201,0.24,0.3,-0.96
1960-10-01,-0.906,-1.187,0.287,-3.08,0.2,-0.34
1960-11-01,-0.811,-0.553,0.241,1.4,0.1,-0.34
1960-12-01,-0.641,-0.343,0.128,0.46,0.1,0.0
1961-01-01,-0.144,-1.506,0.051,1.46,0.0,0.89
1961-02-01,-0.08,0.621,0.071,4.06,0.0,0.92
1961-03-01,-0.122,0.341,0.139,2.08,0.0,0.64
1961-04-01,-0.612,-0.237,0.217,0.71,0.1,0.28
1961-05-01,-0.438,0.157,0.184,-0.94,0.2,-0.54
1961-06-01,-0.006,0.837,0.023,2.13,0.3,-0.7
1961-07-01,0.63,-0.108,-0.029,0.63,0.1,-1.23
1961-08-01,0.776,0.013,0.026,3.38,-0.1,-0.87
1961-09-01,0.554,0.815,-0.007,2.01,-0.3,-1.34
1961-10-01,0.457,0.203,0.019,1.0,-0.3,-1.78
1961-11-01,0.323,-0.01,0.057,-2.15,-0.2,-1.43
1961-12-01,0.311,-1.668,0.203,-1.72,-0.2,-1.73
1962-01-01,0.512,1.645,0.139,2.44,-0.2,-1.0
1962-02-01,0.544,-0.358,0.142,0.77,-0.2,-0.87
1962-03-01,0.356,-2.848,0.155,-3.78,-0.2,-1.06
1962-04-01,-0.019,1.169,0.077,0.74,-0.3,-0.95
1962-05-01,-0.385,0.068,0.013,-0.1,-0.3,-1.3
1962-06-01,-0.458,0.287,-0.081,1.41,-0.2,-1.71
1962-07-01,-0.468,-0.927,-0.018,-2.1,0.0,-1.83
1962-08-01,-0.303,0.152,-0.073,2.28,-0.1,-0.66
1962-09-01,-0.186,-0.056,-0.006,0.02,-0.1,-1.47
1962-10-01,-0.327,-0.016,0.055,-0.34,-0.2,-1.76
1962-11-01,-0.213,-1.112,0.036,-2.23,-0.3,-0.38
1962-12-01,-0.071,-0.711,0.18,-0.66,-0.4,-0.23
1963-01-01,0.329,-3.311,0.147,-4.09,-0.4,0.12
1963-02-01,0.395,-1.721,0.155,-1.9,-0.2,0.15
1963-03-01,0.201,0.724,0.123,2.79,0.2,-0.28
1963-04-01,-0.061,-0.348,0.093,-0.46,0.3,-0.27
1963-05-01,-0.324,0.771,-0.095,1.91,0.3,-1.26
1963-06-01,-0.248,-0.585,-0.058,-1.77,0.5,-0.6
1963-07-01,0.212,-0.303,-0.046,-0.65,0.9,-1.11
1963-08-01,0.473,-0.625,-0.084,-0.96,1.1,-1.01
1963-09-01,0.081,0.083,-0.213,0.94,1.2,1.08
1963-10-01,0.432,1.069,-0.082,2.79,1.3,0.34
1963-11-01,0.319,-0.419,-0.068,-0.15,1.4,-0.5
1963-12-01,-0.059,-1.178,-0.071,-3.09,1.3,0.45
1964-01-01,-0.461,0.385,-0.086,0.93,1.1,0.34
1964-02-01,-0.692,-0.575,0.01,-0.13,0.6,0.21
1964-03-01,-0.312,-0.558,0.028,-0.77,0.1,-0.71
1964-04-01,-0.224,0.663,-0.157,0.95,-0.3,-1.27
1964-05-01,-0.52,1.174,0.03,2.51,-0.6,-2.39
1964-06-01,-0.344,0.142,-0.007,-1.85,-0.6,-0.86
1964-07-01,-0.829,0.734,-0.155,2.44,-0.6,-1.08
1964-08-01,-0.683,-1.207,-0.245,-2.46,-0.7,-1.6
1964-09-01,-0.981,-0.227,-0.231,0.5,-0.8,-1.35
1964-10-01,-1.027,0.342,-0.282,0.63,-0.8,-0.64
1964-11-01,-0.284,-0.344,-0.177,1.33,-0.8,-0.68
1964-12-01,-0.182,-0.246,-0.132,-1.24,-0.8,-0.62
1965-01-01,-0.331,-1.046,-0.21,0.01,-0.6,-0.95
1965-02-01,-0.447,-2.084,-0.188,-3.03,-0.3,-0.61
1965-03-01,-0.186,-0.905,-0.089,0.23,-0.1,-0.17
1965-04-01,-0.285,0.568,-0.108,2.14,0.2,-0.01
1965-05-01,-0.54,-0.153,-0.11,-0.08,0.5,-0.66
1965-06-01,-0.487,0.038,-0.138,0.87,0.8,-0.76
1965-07-01,-0.473,-0.51,-0.199,-1.71,1.2,-0.74
1965-08-01,-0.247,-0.255,-0.221,1.59,1.5,0.32
1965-09-01,-0.197,-0.698,-0.233,-1.01,1.9,0.83
1965-10-01,0.017,0.394,-0.259,-1.26,2.0,0.3
1965-11-01,-0.225,-1.341,-0.288,-1.78,2.0,0.47
1965-12-01,-0.29,0.163,-0.135,1.24,1.7,0.25
1966-01-01,-0.232,-3.232,-0.087,-1.01,1.4,-0.67
1966-02-01,-0.163,-1.438,-0.001,-0.38,1.2,-0.43
1966-03-01,-0.341,-0.911,-0.021,1.05,1.0,-1.0
1966-04-01,-0.435,-1.837,0.032,1.18,0.7,-0.37
1966-05-01,-0.423,1.124,-0.01,1.51,0.4,-0.76
1966-06-01,-0.119,0.408,-0.057,0.82,0.2,0.1
1966-07-01,-0.004,0.011,-0.067,-1.99,0.2,0.01
1966-08-01,0.129,-0.945,-0.055,-2.03,0.1,-0.29
1966-09-01,0.102,0.011,-0.012,-0.47,-0.1,-0.35
1966-10-01,-0.304,-1.077,0.002,-2.89,-0.1,-0.6
1966-11-01,-0.361,0.111,-0.009,-0.07,-0.2,-0.71
1966-12-01,-0.236,-1.401,0.068,1.68,-0.3,-0.21
1967-01-01,-0.236,-0.576,0.07,0.04,-0.4,-0.24
1967-02-01,-0.073,1.18,0.076,1.7,-0.5,-0.25
1967-03-01,0.248,1.967,-0.046,3.0,-0.5,-0.8
1967-04-01,-0.263,1.7,-0.027,-0.76,-0.4,-1.13
1967-05-01,-0.165,0.127,-0.199,-0.46,-0.2,-1.54
1967-06-01,0.044,0.647,-0.273,1.96,0.0,-1.2
1967-07-01,0.14,0.259,-0.242,1.44,0.0,-1.21
1967-08-01,0.13,-0.293,-0.177,-0.41,-0.2,-1.55
1967-09-01,0.145,0.133,-0.109,0.32,-0.3,-0.6
1967-10-01,0.159,1.299,-0.112,1.34,-0.4,-0.06
1967-11-01,0.023,0.334,-0.246,-0.91,-0.3,0.36
1967-12-01,0.054,-0.347,-0.165,-0.53,-0.4,-0.68
1968-01-01,0.213,-0.409,-0.259,1.65,-0.6,-0.65
1968-02-01,0.334,-2.154,-0.21,-1.53,-0.7,-0.19
1968-03-01,0.154,1.741,-0.221,0.34,-0.6,0.08
1968-04-01,0.073,0.328,-0.168,-0.71,-0.4,-0.69
1968-05-01,-0.123,-0.241,-0.136,-1.5,0.0,-0.79
1968-06-01,0.091,0.42,-0.275,0.95,0.3,0.14
1968-07-01,-0.521,-0.836,-0.242,-1.96,0.6,0.44
1968-08-01,-0.455,-0.671,-0.226,-1.45,0.5,-0.01
1968-09-01,-0.734,-1.009,-0.162,0.5,0.4,0.26
1968-10-01,-0.531,-1.013,-0.126,0.03,0.5,-0.18
1968-11-01,-0.454,-2.183,-0.12,-2.0,0.7,0.03
1968-12-01,-0.213,-0.783,-0.139,-1.73,1.0,-0.29
1969-01-01,-0.162,-2.967,-0.075,-1.64,1.1,-0.71
1969-02-01,-0.164,-3.114,0.092,-3.16,1.1,-1.22
1969-03-01,0.06,-1.582,0.194,-1.81,0.9,-1.21
1969-04-01,-0.051,0.438,0.136,1.11,0.8,-1.07
1969-05-01,-0.166,-0.72,-0.002,-0.23,0.6,-1.06
1969-06-01,-0.626,-0.348,0.016,-1.17,0.4,0.84
1969-07-01,-0.407,0.41,0.081,3.7,0.4,-0.37
1969-08-01,-0.35,-0.782,-0.114,-1.62,0.5,-0.92
1969-09-01,-0.248,-0.083,-0.12,0.38,0.8,-1.07
1969-10-01,-0.2,0.098,-0.198,0.7,0.9,0.95
1969-11-01,-0.004,0.326,-0.137,-1.28,0.8,0.58
1969-12-01,-0.085,-1.856,-0.044,-0.26,0.6,1.13
1970-01-01,0.297,-2.412,-0.023,-1.16,0.5,1.06
1970-02-01,0.326,-1.325,-0.061,1.1,0.3,1.01
1970-03-01,0.068,-2.084,0.006,-1.78,0.3,1.2
1970-04-01,0.219,0.302,0.007,2.52,0.2,0.31
1970-05-01,0.182,0.531,-0.059,1.87,0.0,-0.89
1970-06-01,-0.385,0.875,-0.195,-0.11,-0.3,-0.12
1970-07-01,-0.57,0.139,-0.213,0.27,-0.6,-0.92
1970-08-01,-0.351,-0.263,-0.153,-0.2,-0.8,-1.79
1970-09-01,-0.6,0.03,-0.151,0.47,-0.8,-1.68
1970-10-01,-0.638,0.098,-0.209,-0.0,-0.7,-1.2
1970-11-01,-0.307,0.378,-0.253,0.76,-0.9,-0.92
1970-12-01,-0.235,-0.399,-0.222,-1.58,-1.1,-0.91
1971-01-01,0.198,-0.163,-0.259,-0.43,-1.4,-1.34
1971-02-01,0.013,-0.922,-0.305,1.21,-1.4,-1.45
1971-03-01,0.208,-1.091,-0.323,-1.76,-1.1,-1.55
1971-04-01,0.24,-0.583,-0.426,-3.15,-0.8,-1.7
1971-05-01,-0.074,0.679,-0.339,-0.62,-0.7,-1.75
1971-06-01,-0.236,-0.668,-0.376,-1.32,-0.7,-1.86
1971-07-01,-0.354,-0.578,-0.362,-1.04,-0.8,-2.25
1971-08-01,-0.547,0.818,-0.448,0.07,-0.8,-0.32
1971-09-01,-0.746,0.153,-0.379,-0.54,-0.8,-0.17
1971-10-01,-0.629,1.185,-0.248,1.63,-0.9,-0.35
1971-11-01,0.017,0.419,-0.256,-1.46,-1.0,-1.28
1971-12-01,0.215,0.824,-0.321,0.76,-0.9,-1.77
1972-01-01,0.143,0.166,-0.331,-0.52,-0.7,-2.12
1972-02-01,-0.216,-0.195,-0.393,-0.2,-0.4,-1.95
1972-03-01,0.031,-0.141,-0.452,0.26,0.1,-1.53
1972-04-01,0.131,1.007,-0.339,0.22,0.4,-1.7
1972-05-01,0.157,0.14,-0.482,1.24,0.7,-2.16
1972-06-01,0.739,-0.049,-0.501,1.07,0.9,-1.84
1972-07-01,0.708,-0.553,-0.388,0.41,1.1,-1.48
1972-08-01,0.511,-0.082,-0.396,0.11,1.4,-0.11
1972-09-01,0.363,-0.92,-0.316,-4.11,1.6,-0.2
1972-10-01,0.327,0.392,-0.299,-1.74,1.8,-0.22
1972-11-01,0.671,-0.38,-0.29,0.64,2.1,-0.05
1972-12-01,0.477,1.238,-0.364,2.11,2.1,-0.37
1973-01-01,0.043,1.232,-0.387,1.37,1.8,-0.15
1973-02-01,-0.077,0.786,-0.406,1.22,1.2,-0.55
1973-03-01,-0.001,0.537,-0.357,1.04,0.5,-0.88
1973-04-01,-0.117,-1.126,-0.277,-2.61,-0.1,-1.35
1973-05-01,0.085,0.073,-0.182,0.37,-0.5,-1.59
1973-06-01,-0.225,0.531,-0.188,0.83,-0.9,-1.44
1973-07-01,-0.495,0.27,-0.117,-1.85,-1.1,-1.4
1973-08-01,-0.607,0.313,-0.146,2.32,-1.3,-1.56
1973-09-01,-0.773,0.114,-0.144,-0.79,-1.5,-1.05
1973-10-01,-0.449,0.337,-0.229,-1.03,-1.7,-1.36
1973-11-01,-0.157,0.002,-0.222,-0.26,-1.9,-1.42
1973-12-01,0.047,-0.181,-0.251,-1.65,-2.0,-0.89
1974-01-01,0.279,0.232,-0.289,3.75,-1.8,-0.86
